SMILES,IC50
O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccncc3)n[nH]c2c1,33
O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2cn[nH]c2c1,3200
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,21
O=Nc1c(-c2c(O)[nH]c3ccc([N+](=O)[O-])cc23)[nH]c2ccccc12,62
COc1cc2ncnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,4
CN1C/C=C/COCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)C1,310
C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,270
COCCOc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,25
CCS(=O)(=O)c1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,440
Nc1nc(Nc2ccc(C(=O)NCCN3CCOCC3)cc2)nn1-c1ccccn1,19
Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,2600
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,8
CCCn1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)c2c(N)ncnc21,15
CC#CCn1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)c2c(N)ncnc21,26
O=C(Nc1ccc(CN2CCOCC2)cc1)c1n[nH]cc1Nc1nc(Cl)nc2ccccc12,0.958
O=C(Nc1ccc2c(c1)CNc1c(Cl)ncnc1O2)Nc1ccc(Cl)c(C(F)(F)F)c1,13700
COc1cccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)c1,110
Cc1cccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)c1,140
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,12
CN1CCC(c2ccc(Nc3nc(N)n(-c4ccccn4)n3)cc2)CC1,3
CC(O)CNc1nc(Nc2ccc(Br)cc2)c2ncn(C3CCCCO3)c2n1,1141
CN1CCN(c2nc(Nc3ccc(Br)cc3)c3ncn(C4CCCCO4)c3n2)CC1,4207
N[C@H]1CC[C@H](Nc2nc(Nc3ccc(N4CCCC4)cc3)c3ncn(C4CCCC4)c3n2)CC1,3
NCCCCCCNc1nc(Nc2ccc(CN3CCOCC3)cc2)c2ncn(C3CCCC3)c2n1,10
OCCCNc1nc(Nc2ccc(CN3CCOCC3)cc2)c2ncn(C3CCCC3)c2n1,47
N[C@H]1CC[C@H](Nc2nc(Nc3ccc(Br)cc3)c3ncn(C4CCCC4)c3n2)CC1,16
